Symbol;PERIOD;PROFIT;OPS;SINGLE_COST;COST;NET_PROFIT;NET_PROFIT_PERCENTAGE
POLEUR;EMA_29_62;0.0479;2;0.0002;0.0004;0.0475;22.5%
ARBEUR;EMA_1_10;0.0976;26;0.0004;0.0112;0.0864;20.5%
LINKEUR;EMA_11_14;4.13;8;0.0197;0.1575;3.9725;20.2%
SOLEUR;EMA_2_11;35.21;16;0.1634;2.6137;32.5963;19.9%
ETHEUR;EMA_2_10;609.23;18;3.7707;67.8729;541.3571;14.5%
AVAXEUR;EMA_68_83;1.77;2;0.0209;0.0417;1.7283;8.4%
SEUR;EMA_45_61;0.0217;2;0.0003;0.0005;0.0212;7.9%
BNBEUR;EMA_23_31;49.63;2;0.7091;1.4181;48.2118;6.7%
ADAEUR;EMA_39_41;0.0484;2;0.0007;0.0014;0.047;6.5%
BCHEUR;EMA_1_121;32.6;2;0.499;0.998;31.602;6.5%
BOMEEUR;EMA_32_164;0.0001;2;0.0;0.0;0.0001;6.0%
OPEUR;EMA_14_15;0.0356;6;0.0006;0.0038;0.0318;5.1%
PNUTEUR;EMA_49_61;0.0098;2;0.0002;0.0004;0.0094;4.9%
DOGEEUR;EMA_95_119;0.0089;2;0.0002;0.0004;0.0085;4.5%
WIFEUR;EMA_47_61;0.034;2;0.0008;0.0015;0.0325;4.3%
EGLDEUR;EMA_102_124;0.55;2;0.0126;0.0253;0.5247;4.1%
WLDEUR;EMA_24_61;0.033;2;0.0008;0.0017;0.0313;3.8%
GALAEUR;EMA_17_121;0.0005;2;0.0;0.0;0.0005;3.5%
APTEUR;EMA_44_87;0.128;2;0.0038;0.0076;0.1204;3.1%
TRXEUR;EMA_5_16;0.0108;10;0.0003;0.0029;0.0079;2.7%
GMTEUR;EMA_45_62;0.0011;2;0.0;0.0001;0.001;2.7%
DOTEUR;EMA_33_119;0.078;2;0.0033;0.0066;0.0714;2.1%
BTCEUR;EMA_9_24;2365.63;6;97.5821;585.4928;1780.1372;1.8%
GRTEUR;EMA_19_62;0.0016;2;0.0001;0.0002;0.0014;1.8%
XRPEUR;EMA_46_61;0.0431;2;0.0026;0.0053;0.0378;1.5%
XLMEUR;EMA_15_61;0.006;2;0.0004;0.0007;0.0053;1.5%
ATOMEUR;EMA_102_164;0.067;2;0.0038;0.0077;0.0593;1.5%
VETEUR;EMA_96_164;0.0003;2;0.0;0.0;0.0003;1.4%
LTCEUR;EMA_42_67;1.5;2;0.1025;0.205;1.295;1.3%
TRUMPEUR;EMA_164_165;0.1;2;0.0072;0.0144;0.0856;1.1%
RENDEREUR;EMA_13_76;0.021;2;0.0032;0.0065;0.0145;0.5%
BABYEUR;EMA_50_58;0.0002;2;0.0;0.0001;0.0001;0.2%
ICPEUR;EMA_17_40;0.014;2;0.0046;0.0093;0.0047;0.1%
